ParticipantID,TargetLoad,Game,Lab
1,Single,100,100
2,Single,95.833125,100
3,Single,96.875,100
4,Single,96.875,100
5,Single,81.75421053,100
6,Single,83.27615385,100
7,Single,100,100
8,Single,87.26833333,100
9,Single,100,100
10,Single,96.66666667,100
11,Single,100,100
12,Single,91.11066667,100
13,Single,100,100
14,Single,93.33333333,100
15,Single,95,100
16,Single,100,100
17,Single,100,100
18,Single,96.875,100
19,Single,96.66666667,100
20,Single,100,100
21,Single,100,100
22,Multiple,94.094,100
23,Multiple,95.68416667,96
24,Multiple,97.37333333,100
25,Multiple,100,100
26,Multiple,96.60454545,100
27,Multiple,96.11909091,97.33333333
28,Multiple,100,98.66666667
29,Multiple,98.25727273,92
30,Multiple,94.14357143,98.66666667
31,Multiple,99.39363636,100
32,Multiple,93.56,45.33333333
33,Multiple,96.57615385,94.66666667
34,Multiple,96.023,98.66666667
35,Multiple,98.69454545,100
36,Multiple,94.34833333,97.7
37,Multiple,91.08076923,98.2
