ParticipantID,TargetLoad,Game,Lab
1,Single,3107.333333,2331.349807
2,Single,3729.125,1865.424367
3,Single,2287.0625,1762.399107
4,Single,2837.5625,1452.931387
5,Single,3696.789474,1540.257193
6,Single,3148.461538,1602.089107
7,Single,3064.466667,1510.770193
8,Single,2435.555556,1547.068233
9,Single,2686.2,1363.183773
10,Single,2967.6,1429.973673
11,Single,2604.333333,1431.576387
12,Single,2649.333333,1507.98632
13,Single,2900.133333,1391.256667
14,Single,3793.866667,1640.132813
15,Single,2116.8125,1338.13744
16,Single,2696.933333,1766.18294
17,Single,2426.733333,1160.464367
18,Single,2616.75,1542.302047
19,Single,2887.466667,1649.97518
20,Single,3487.933333,1492.991773
21,Single,3968.2,1547.159067
22,Multiple,1325.791577,1176.346959
23,Multiple,1207.508623,1221.341182
24,Multiple,1815.123148,1429.746317
25,Multiple,810.9986111,1359.380331
26,Multiple,1161.836325,1332.316817
27,Multiple,1179.697863,1312.772286
28,Multiple,1223.572983,1224.360387
29,Multiple,1107.971251,1160.077326
30,Multiple,1324.139739,1474.394887
31,Multiple,888.2837413,1175.464819
32,Multiple,1286.113907,1355.352779
33,Multiple,1197.78885,1365.778021
34,Multiple,1292.876508,1278.530896
35,Multiple,1350.334957,1329.816307
36,Multiple,999.2245701,1418.618752
37,Multiple,891.8836081,2087.376709
